geneID	319_1_mouse_C57Bl6_Adip_iBA_1	319_2_mouse_C57Bl6_Adip_ScWA_2	319_3_mouse_C57Bl6_Adip_ScWA_3	319_4_mouse_C57Bl6_Adip_ScWA_4	319_5_mouse_C57Bl6_Adip_VisWA_1	319_6_mouse_C57Bl6_Adip_VisWA_2	319_7_mouse_C57Bl6_Adip_VisWA_3	319_8_mouse_C57Bl6_Adip_VisWA_4	319_9_mouse_C57Bl6_Adip_ScWA_1	319_11_mouse_C57Bl6_Adip_iBA_3	319_12_mouse_C57Bl6_Adip_iBA_4	319_13_mouse_SV129_Adip_ScWA_1	319_14_mouse_SV129_Adip_ScWA_2	319_15_mouse_SV129_Adip_ScWA_3	319_16_mouse_SV129_Adip_ScWA_4	319_17_mouse_SV129_Adip_VisWA_1	319_18_mouse_SV129_Adip_VisWA_2	319_19_mouse_SV129_Adip_VisWA_3	319_20_mouse_SV129_Adip_VisWA_4	319_21_mouse_SV129_Adip_iBA_1	319_22_mouse_SV129_Adip_iBA_2	319_23_mouse_SV129_Adip_iBA_3	319_24_mouse_SV129_Adip_iBA_4
ENSMUSG00000092260	0.422	0.891	1.384	1.040	0.470	0.637	0.854	0.632	0.908	1.235	0.964	1.554	2.014	1.578	1.782	1.828	1.573	1.588	2.134	2.056	1.200	1.918	1.613
ENSMUSG00000092261	0.590	0.218	0.125	0.090	0.158	0.155	0.283	0.166	0.188	0.311	0.843	0.252	0.202	0.230	0.196	0.119	0.163	0.112	0.144	0.093	0.223	0.586	0.160
ENSMUSG00000092262	0	0	0	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0
ENSMUSG00000092265	0	0	0	0	0	0	0	0	0	0	0.094	0	0.166	0.093	0	0.082	0.093	0	0	0	0	0	0
ENSMUSG00000092268	0	0.325	0.288	0.059	0.298	0.337	0.447	0.062	0.244	0.140	0.068	0.067	0	0.267	0.062	0.295	0.668	0.251	0.489	0.152	0.075	0.149	0.078
ENSMUSG00000092269	0	0	0.018	0.019	0	0.015	0	0	0	0	0	0	0	0	0	0.036	0.020	0	0	0	0	0	0
ENSMUSG00000092270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0
ENSMUSG00000092274	27.113	137.571	112.294	144.580	60.107	146.873	64.599	80.079	149.582	67.901	29.827	82.951	54.369	74.878	60.163	101.872	142.376	92.379	115.046	57.745	41.152	56.569	41.805
ENSMUSG00000092275	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092277	0.112	0.293	0.228	0.207	0.207	0.111	0.013	0.093	0.182	0.139	0.168	0.469	0.491	0.685	0.587	0.221	0.283	0.287	0.056	0.152	0.148	0.079	0.041
ENSMUSG00000092278	0.263	1.420	1.243	1.328	1.033	1.366	1.013	1.105	1.420	0.864	0.558	2.242	2.798	3.039	1.926	2.101	2.227	1.928	2.080	1.122	0.815	1.921	1.052
ENSMUSG00000092279	0.311	0.500	0.875	1.136	2.150	0.877	1.055	1.554	0.558	0	0.400	1.726	4.018	2.741	3.473	5.206	6.433	5.563	4.621	0.817	0.826	0.664	0.846
ENSMUSG00000092281	0.054	0.157	0.089	0.119	0.274	0.146	0.176	0.146	0.230	0.117	0.194	0.159	0.110	0.152	0.206	0.200	0.261	0.104	0.174	0.193	0.207	0.183	0.299
ENSMUSG00000092283	27.372	24.434	21.208	24.292	30.912	26.996	29.353	29.825	37.334	13.470	33.634	41.948	35.285	42.836	33.199	34.786	37.812	42.081	37.405	23.166	24.215	22.669	25.818
ENSMUSG00000092284	0	0	0	0	0	0	0	0	0	0	0	0.215	0.125	0.351	0.052	0.062	0.071	0.067	0	0.285	0.056	0.167	0.291
